team,other_team,game,teamid,otherid
byu,stbonaventure,byu vs. stbonaventure,1140,1382
byu,syracuse,byu vs. syracuse,1140,1393
byu,tennessee,byu vs. tennessee,1140,1397
byu,texas,byu vs. texas,1140,1400
byu,texastech,byu vs. texastech,1140,1403
byu,texassouthern,byu vs. texassouthern,1140,1411
byu,ucla,byu vs. ucla,1140,1417
byu,uncgreensboro,byu vs. uncgreensboro,1140,1422
byu,southerncalifornia,byu vs. southerncalifornia,1140,1425
byu,utahst,byu vs. utahst,1140,1429
byu,vcu,byu vs. vcu,1140,1433
byu,villanova,byu vs. villanova,1140,1437
byu,virginia,byu vs. virginia,1140,1438
byu,virginiatech,byu vs. virginiatech,1140,1439
byu,westvirginia,byu vs. westvirginia,1140,1452
byu,winthrop,byu vs. winthrop,1140,1457
byu,wisconsin,byu vs. wisconsin,1140,1458
clemson,moreheadst,clemson vs. moreheadst,1155,1287
clemson,norfolkst,clemson vs. norfolkst,1155,1313
clemson,northcarolina,clemson vs. northcarolina,1155,1314
clemson,northtexas,clemson vs. northtexas,1155,1317
clemson,ohio,clemson vs. ohio,1155,1325
clemson,ohiost,clemson vs. ohiost,1155,1326
clemson,oklahoma,clemson vs. oklahoma,1155,1328
clemson,oklahomast,clemson vs. oklahomast,1155,1329
clemson,oralroberts,clemson vs. oralroberts,1155,1331
clemson,oregon,clemson vs. oregon,1155,1332
clemson,oregonst,clemson vs. oregonst,1155,1333
clemson,purdue,clemson vs. purdue,1155,1345
clemson,rutgers,clemson vs. rutgers,1155,1353
clemson,sandiegost,clemson vs. sandiegost,1155,1361
clemson,ucsantabarbara,clemson vs. ucsantabarbara,1155,1364
clemson,stbonaventure,clemson vs. stbonaventure,1155,1382
clemson,syracuse,clemson vs. syracuse,1155,1393
clemson,tennessee,clemson vs. tennessee,1155,1397
clemson,texas,clemson vs. texas,1155,1400
clemson,texastech,clemson vs. texastech,1155,1403
clemson,texassouthern,clemson vs. texassouthern,1155,1411
clemson,ucla,clemson vs. ucla,1155,1417
clemson,uncgreensboro,clemson vs. uncgreensboro,1155,1422
clemson,southerncalifornia,clemson vs. southerncalifornia,1155,1425
clemson,utahst,clemson vs. utahst,1155,1429
clemson,vcu,clemson vs. vcu,1155,1433
clemson,villanova,clemson vs. villanova,1155,1437
clemson,virginia,clemson vs. virginia,1155,1438
clemson,virginiatech,clemson vs. virginiatech,1155,1439
clemson,westvirginia,clemson vs. westvirginia,1155,1452
clemson,winthrop,clemson vs. winthrop,1155,1457
clemson,wisconsin,clemson vs. wisconsin,1155,1458
clevelandst,moreheadst,clevelandst vs. moreheadst,1156,1287
clevelandst,norfolkst,clevelandst vs. norfolkst,1156,1313
clevelandst,northcarolina,clevelandst vs. northcarolina,1156,1314
clevelandst,northtexas,clevelandst vs. northtexas,1156,1317
clevelandst,ohio,clevelandst vs. ohio,1156,1325
clevelandst,ohiost,clevelandst vs. ohiost,1156,1326
clevelandst,oklahoma,clevelandst vs. oklahoma,1156,1328
clevelandst,oklahomast,clevelandst vs. oklahomast,1156,1329
clevelandst,oralroberts,clevelandst vs. oralroberts,1156,1331
clevelandst,oregon,clevelandst vs. oregon,1156,1332
clevelandst,oregonst,clevelandst vs. oregonst,1156,1333
clevelandst,purdue,clevelandst vs. purdue,1156,1345
clevelandst,rutgers,clevelandst vs. rutgers,1156,1353
clevelandst,sandiegost,clevelandst vs. sandiegost,1156,1361
clevelandst,ucsantabarbara,clevelandst vs. ucsantabarbara,1156,1364
clevelandst,stbonaventure,clevelandst vs. stbonaventure,1156,1382
clevelandst,syracuse,clevelandst vs. syracuse,1156,1393
clevelandst,tennessee,clevelandst vs. tennessee,1156,1397
clevelandst,texas,clevelandst vs. texas,1156,1400
clevelandst,texastech,clevelandst vs. texastech,1156,1403
clevelandst,texassouthern,clevelandst vs. texassouthern,1156,1411
clevelandst,ucla,clevelandst vs. ucla,1156,1417
clevelandst,uncgreensboro,clevelandst vs. uncgreensboro,1156,1422
clevelandst,southerncalifornia,clevelandst vs. southerncalifornia,1156,1425
clevelandst,utahst,clevelandst vs. utahst,1156,1429
clevelandst,vcu,clevelandst vs. vcu,1156,1433
clevelandst,villanova,clevelandst vs. villanova,1156,1437
clevelandst,virginia,clevelandst vs. virginia,1156,1438
clevelandst,virginiatech,clevelandst vs. virginiatech,1156,1439
clevelandst,westvirginia,clevelandst vs. westvirginia,1156,1452
clevelandst,winthrop,clevelandst vs. winthrop,1156,1457
clevelandst,wisconsin,clevelandst vs. wisconsin,1156,1458
colgate,moreheadst,colgate vs. moreheadst,1159,1287
colgate,norfolkst,colgate vs. norfolkst,1159,1313
colgate,northcarolina,colgate vs. northcarolina,1159,1314
colgate,northtexas,colgate vs. northtexas,1159,1317
colgate,ohio,colgate vs. ohio,1159,1325
colgate,ohiost,colgate vs. ohiost,1159,1326
colgate,oklahoma,colgate vs. oklahoma,1159,1328
colgate,oklahomast,colgate vs. oklahomast,1159,1329
colgate,oralroberts,colgate vs. oralroberts,1159,1331
colgate,oregon,colgate vs. oregon,1159,1332
colgate,oregonst,colgate vs. oregonst,1159,1333
colgate,purdue,colgate vs. purdue,1159,1345
colgate,rutgers,colgate vs. rutgers,1159,1353
colgate,sandiegost,colgate vs. sandiegost,1159,1361
colgate,ucsantabarbara,colgate vs. ucsantabarbara,1159,1364
colgate,stbonaventure,colgate vs. stbonaventure,1159,1382
colgate,syracuse,colgate vs. syracuse,1159,1393
colgate,tennessee,colgate vs. tennessee,1159,1397
colgate,texas,colgate vs. texas,1159,1400
colgate,texastech,colgate vs. texastech,1159,1403
colgate,texassouthern,colgate vs. texassouthern,1159,1411
colgate,ucla,colgate vs. ucla,1159,1417
colgate,uncgreensboro,colgate vs. uncgreensboro,1159,1422
colgate,southerncalifornia,colgate vs. southerncalifornia,1159,1425
colgate,utahst,colgate vs. utahst,1159,1429
colgate,vcu,colgate vs. vcu,1159,1433
colgate,villanova,colgate vs. villanova,1159,1437
colgate,virginia,colgate vs. virginia,1159,1438
colgate,virginiatech,colgate vs. virginiatech,1159,1439
colgate,westvirginia,colgate vs. westvirginia,1159,1452
colgate,winthrop,colgate vs. winthrop,1159,1457
colgate,wisconsin,colgate vs. wisconsin,1159,1458
colorado,moreheadst,colorado vs. moreheadst,1160,1287
colorado,norfolkst,colorado vs. norfolkst,1160,1313
colorado,northcarolina,colorado vs. northcarolina,1160,1314
colorado,northtexas,colorado vs. northtexas,1160,1317
colorado,ohio,colorado vs. ohio,1160,1325
colorado,ohiost,colorado vs. ohiost,1160,1326
colorado,oklahoma,colorado vs. oklahoma,1160,1328
colorado,oklahomast,colorado vs. oklahomast,1160,1329
colorado,oralroberts,colorado vs. oralroberts,1160,1331
colorado,oregon,colorado vs. oregon,1160,1332
colorado,oregonst,colorado vs. oregonst,1160,1333
colorado,purdue,colorado vs. purdue,1160,1345
colorado,rutgers,colorado vs. rutgers,1160,1353
colorado,sandiegost,colorado vs. sandiegost,1160,1361
colorado,ucsantabarbara,colorado vs. ucsantabarbara,1160,1364
colorado,stbonaventure,colorado vs. stbonaventure,1160,1382
colorado,syracuse,colorado vs. syracuse,1160,1393
colorado,tennessee,colorado vs. tennessee,1160,1397
colorado,texas,colorado vs. texas,1160,1400
colorado,texastech,colorado vs. texastech,1160,1403
colorado,texassouthern,colorado vs. texassouthern,1160,1411
colorado,ucla,colorado vs. ucla,1160,1417
colorado,uncgreensboro,colorado vs. uncgreensboro,1160,1422
colorado,southerncalifornia,colorado vs. southerncalifornia,1160,1425
colorado,utahst,colorado vs. utahst,1160,1429
colorado,vcu,colorado vs. vcu,1160,1433
colorado,villanova,colorado vs. villanova,1160,1437
colorado,virginia,colorado vs. virginia,1160,1438
colorado,virginiatech,colorado vs. virginiatech,1160,1439
colorado,westvirginia,colorado vs. westvirginia,1160,1452
colorado,winthrop,colorado vs. winthrop,1160,1457
colorado,wisconsin,colorado vs. wisconsin,1160,1458
uconn,moreheadst,uconn vs. moreheadst,1163,1287
uconn,norfolkst,uconn vs. norfolkst,1163,1313
uconn,northcarolina,uconn vs. northcarolina,1163,1314
uconn,northtexas,uconn vs. northtexas,1163,1317
uconn,ohio,uconn vs. ohio,1163,1325
uconn,ohiost,uconn vs. ohiost,1163,1326
uconn,oklahoma,uconn vs. oklahoma,1163,1328
uconn,oklahomast,uconn vs. oklahomast,1163,1329
uconn,oralroberts,uconn vs. oralroberts,1163,1331
uconn,oregon,uconn vs. oregon,1163,1332
uconn,oregonst,uconn vs. oregonst,1163,1333
uconn,purdue,uconn vs. purdue,1163,1345
uconn,rutgers,uconn vs. rutgers,1163,1353
uconn,sandiegost,uconn vs. sandiegost,1163,1361
uconn,ucsantabarbara,uconn vs. ucsantabarbara,1163,1364
uconn,stbonaventure,uconn vs. stbonaventure,1163,1382
uconn,syracuse,uconn vs. syracuse,1163,1393
uconn,tennessee,uconn vs. tennessee,1163,1397
uconn,texas,uconn vs. texas,1163,1400
uconn,texastech,uconn vs. texastech,1163,1403
uconn,texassouthern,uconn vs. texassouthern,1163,1411
uconn,ucla,uconn vs. ucla,1163,1417
uconn,uncgreensboro,uconn vs. uncgreensboro,1163,1422
uconn,southerncalifornia,uconn vs. southerncalifornia,1163,1425
uconn,utahst,uconn vs. utahst,1163,1429
uconn,vcu,uconn vs. vcu,1163,1433
uconn,villanova,uconn vs. villanova,1163,1437
uconn,virginia,uconn vs. virginia,1163,1438
uconn,virginiatech,uconn vs. virginiatech,1163,1439
uconn,westvirginia,uconn vs. westvirginia,1163,1452
uconn,winthrop,uconn vs. winthrop,1163,1457
uconn,wisconsin,uconn vs. wisconsin,1163,1458
creighton,moreheadst,creighton vs. moreheadst,1166,1287
creighton,norfolkst,creighton vs. norfolkst,1166,1313
creighton,northcarolina,creighton vs. northcarolina,1166,1314
creighton,northtexas,creighton vs. northtexas,1166,1317
creighton,ohio,creighton vs. ohio,1166,1325
creighton,ohiost,creighton vs. ohiost,1166,1326
creighton,oklahoma,creighton vs. oklahoma,1166,1328
creighton,oklahomast,creighton vs. oklahomast,1166,1329
creighton,oralroberts,creighton vs. oralroberts,1166,1331
creighton,oregon,creighton vs. oregon,1166,1332
creighton,oregonst,creighton vs. oregonst,1166,1333
creighton,purdue,creighton vs. purdue,1166,1345
creighton,rutgers,creighton vs. rutgers,1166,1353
creighton,sandiegost,creighton vs. sandiegost,1166,1361
creighton,ucsantabarbara,creighton vs. ucsantabarbara,1166,1364
creighton,stbonaventure,creighton vs. stbonaventure,1166,1382
creighton,syracuse,creighton vs. syracuse,1166,1393
creighton,tennessee,creighton vs. tennessee,1166,1397
creighton,texas,creighton vs. texas,1166,1400
creighton,texastech,creighton vs. texastech,1166,1403
creighton,texassouthern,creighton vs. texassouthern,1166,1411
creighton,ucla,creighton vs. ucla,1166,1417
creighton,uncgreensboro,creighton vs. uncgreensboro,1166,1422
creighton,southerncalifornia,creighton vs. southerncalifornia,1166,1425
creighton,utahst,creighton vs. utahst,1166,1429
creighton,vcu,creighton vs. vcu,1166,1433
creighton,villanova,creighton vs. villanova,1166,1437
creighton,virginia,creighton vs. virginia,1166,1438
creighton,virginiatech,creighton vs. virginiatech,1166,1439
creighton,westvirginia,creighton vs. westvirginia,1166,1452
creighton,winthrop,creighton vs. winthrop,1166,1457
creighton,wisconsin,creighton vs. wisconsin,1166,1458
drake,moreheadst,drake vs. moreheadst,1179,1287
drake,norfolkst,drake vs. norfolkst,1179,1313
drake,northcarolina,drake vs. northcarolina,1179,1314
drake,northtexas,drake vs. northtexas,1179,1317
drake,ohio,drake vs. ohio,1179,1325
drake,ohiost,drake vs. ohiost,1179,1326
drake,oklahoma,drake vs. oklahoma,1179,1328
drake,oklahomast,drake vs. oklahomast,1179,1329
drake,oralroberts,drake vs. oralroberts,1179,1331
drake,oregon,drake vs. oregon,1179,1332
drake,oregonst,drake vs. oregonst,1179,1333
drake,purdue,drake vs. purdue,1179,1345
drake,rutgers,drake vs. rutgers,1179,1353
drake,sandiegost,drake vs. sandiegost,1179,1361
drake,ucsantabarbara,drake vs. ucsantabarbara,1179,1364
drake,stbonaventure,drake vs. stbonaventure,1179,1382
drake,syracuse,drake vs. syracuse,1179,1393
drake,tennessee,drake vs. tennessee,1179,1397
drake,texas,drake vs. texas,1179,1400
drake,texastech,drake vs. texastech,1179,1403
drake,texassouthern,drake vs. texassouthern,1179,1411
drake,ucla,drake vs. ucla,1179,1417
drake,uncgreensboro,drake vs. uncgreensboro,1179,1422
drake,southerncalifornia,drake vs. southerncalifornia,1179,1425
drake,utahst,drake vs. utahst,1179,1429
drake,vcu,drake vs. vcu,1179,1433
drake,villanova,drake vs. villanova,1179,1437
drake,virginia,drake vs. virginia,1179,1438
drake,virginiatech,drake vs. virginiatech,1179,1439
drake,westvirginia,drake vs. westvirginia,1179,1452
drake,winthrop,drake vs. winthrop,1179,1457
drake,wisconsin,drake vs. wisconsin,1179,1458
drexel,moreheadst,drexel vs. moreheadst,1180,1287
drexel,norfolkst,drexel vs. norfolkst,1180,1313
drexel,northcarolina,drexel vs. northcarolina,1180,1314
drexel,northtexas,drexel vs. northtexas,1180,1317
drexel,ohio,drexel vs. ohio,1180,1325
drexel,ohiost,drexel vs. ohiost,1180,1326
drexel,oklahoma,drexel vs. oklahoma,1180,1328
drexel,oklahomast,drexel vs. oklahomast,1180,1329
drexel,oralroberts,drexel vs. oralroberts,1180,1331
drexel,oregon,drexel vs. oregon,1180,1332
drexel,oregonst,drexel vs. oregonst,1180,1333
drexel,purdue,drexel vs. purdue,1180,1345
drexel,rutgers,drexel vs. rutgers,1180,1353
drexel,sandiegost,drexel vs. sandiegost,1180,1361
drexel,ucsantabarbara,drexel vs. ucsantabarbara,1180,1364
drexel,stbonaventure,drexel vs. stbonaventure,1180,1382
drexel,syracuse,drexel vs. syracuse,1180,1393
drexel,tennessee,drexel vs. tennessee,1180,1397
drexel,texas,drexel vs. texas,1180,1400
drexel,texastech,drexel vs. texastech,1180,1403
drexel,texassouthern,drexel vs. texassouthern,1180,1411
drexel,ucla,drexel vs. ucla,1180,1417
drexel,uncgreensboro,drexel vs. uncgreensboro,1180,1422
drexel,southerncalifornia,drexel vs. southerncalifornia,1180,1425
drexel,utahst,drexel vs. utahst,1180,1429
drexel,vcu,drexel vs. vcu,1180,1433
drexel,villanova,drexel vs. villanova,1180,1437
drexel,virginia,drexel vs. virginia,1180,1438
drexel,virginiatech,drexel vs. virginiatech,1180,1439
drexel,westvirginia,drexel vs. westvirginia,1180,1452
drexel,winthrop,drexel vs. winthrop,1180,1457
drexel,wisconsin,drexel vs. wisconsin,1180,1458
easternwash,moreheadst,easternwash vs. moreheadst,1186,1287
easternwash,norfolkst,easternwash vs. norfolkst,1186,1313
easternwash,northcarolina,easternwash vs. northcarolina,1186,1314
easternwash,northtexas,easternwash vs. northtexas,1186,1317
easternwash,ohio,easternwash vs. ohio,1186,1325
easternwash,ohiost,easternwash vs. ohiost,1186,1326
easternwash,oklahoma,easternwash vs. oklahoma,1186,1328
easternwash,oklahomast,easternwash vs. oklahomast,1186,1329
easternwash,oralroberts,easternwash vs. oralroberts,1186,1331
easternwash,oregon,easternwash vs. oregon,1186,1332
easternwash,oregonst,easternwash vs. oregonst,1186,1333
easternwash,purdue,easternwash vs. purdue,1186,1345
easternwash,rutgers,easternwash vs. rutgers,1186,1353
easternwash,sandiegost,easternwash vs. sandiegost,1186,1361
easternwash,ucsantabarbara,easternwash vs. ucsantabarbara,1186,1364
easternwash,stbonaventure,easternwash vs. stbonaventure,1186,1382
easternwash,syracuse,easternwash vs. syracuse,1186,1393
easternwash,tennessee,easternwash vs. tennessee,1186,1397
easternwash,texas,easternwash vs. texas,1186,1400
easternwash,texastech,easternwash vs. texastech,1186,1403
easternwash,texassouthern,easternwash vs. texassouthern,1186,1411
easternwash,ucla,easternwash vs. ucla,1186,1417
easternwash,uncgreensboro,easternwash vs. uncgreensboro,1186,1422
easternwash,southerncalifornia,easternwash vs. southerncalifornia,1186,1425
easternwash,utahst,easternwash vs. utahst,1186,1429
easternwash,vcu,easternwash vs. vcu,1186,1433
easternwash,villanova,easternwash vs. villanova,1186,1437
easternwash,virginia,easternwash vs. virginia,1186,1438
easternwash,virginiatech,easternwash vs. virginiatech,1186,1439
easternwash,westvirginia,easternwash vs. westvirginia,1186,1452
easternwash,winthrop,easternwash vs. winthrop,1186,1457
easternwash,wisconsin,easternwash vs. wisconsin,1186,1458
florida,moreheadst,florida vs. moreheadst,1196,1287
florida,norfolkst,florida vs. norfolkst,1196,1313
florida,northcarolina,florida vs. northcarolina,1196,1314
florida,northtexas,florida vs. northtexas,1196,1317
florida,ohio,florida vs. ohio,1196,1325
florida,ohiost,florida vs. ohiost,1196,1326
florida,oklahoma,florida vs. oklahoma,1196,1328
florida,oklahomast,florida vs. oklahomast,1196,1329
florida,oralroberts,florida vs. oralroberts,1196,1331
florida,oregon,florida vs. oregon,1196,1332
florida,oregonst,florida vs. oregonst,1196,1333
florida,purdue,florida vs. purdue,1196,1345
florida,rutgers,florida vs. rutgers,1196,1353
florida,sandiegost,florida vs. sandiegost,1196,1361
florida,ucsantabarbara,florida vs. ucsantabarbara,1196,1364
florida,stbonaventure,florida vs. stbonaventure,1196,1382
florida,syracuse,florida vs. syracuse,1196,1393
florida,tennessee,florida vs. tennessee,1196,1397
florida,texas,florida vs. texas,1196,1400
florida,texastech,florida vs. texastech,1196,1403
florida,texassouthern,florida vs. texassouthern,1196,1411
florida,ucla,florida vs. ucla,1196,1417
florida,uncgreensboro,florida vs. uncgreensboro,1196,1422
florida,southerncalifornia,florida vs. southerncalifornia,1196,1425
florida,utahst,florida vs. utahst,1196,1429
florida,vcu,florida vs. vcu,1196,1433
florida,villanova,florida vs. villanova,1196,1437
florida,virginia,florida vs. virginia,1196,1438
florida,virginiatech,florida vs. virginiatech,1196,1439
florida,westvirginia,florida vs. westvirginia,1196,1452
florida,winthrop,florida vs. winthrop,1196,1457
florida,wisconsin,florida vs. wisconsin,1196,1458
floridast,moreheadst,floridast vs. moreheadst,1199,1287
floridast,norfolkst,floridast vs. norfolkst,1199,1313
floridast,northcarolina,floridast vs. northcarolina,1199,1314
floridast,northtexas,floridast vs. northtexas,1199,1317
floridast,ohio,floridast vs. ohio,1199,1325
floridast,ohiost,floridast vs. ohiost,1199,1326
floridast,oklahoma,floridast vs. oklahoma,1199,1328
floridast,oklahomast,floridast vs. oklahomast,1199,1329
floridast,oralroberts,floridast vs. oralroberts,1199,1331
floridast,oregon,floridast vs. oregon,1199,1332
floridast,oregonst,floridast vs. oregonst,1199,1333
floridast,purdue,floridast vs. purdue,1199,1345
floridast,rutgers,floridast vs. rutgers,1199,1353
floridast,sandiegost,floridast vs. sandiegost,1199,1361
floridast,ucsantabarbara,floridast vs. ucsantabarbara,1199,1364
floridast,stbonaventure,floridast vs. stbonaventure,1199,1382
floridast,syracuse,floridast vs. syracuse,1199,1393
floridast,tennessee,floridast vs. tennessee,1199,1397
floridast,texas,floridast vs. texas,1199,1400
floridast,texastech,floridast vs. texastech,1199,1403
floridast,texassouthern,floridast vs. texassouthern,1199,1411
floridast,ucla,floridast vs. ucla,1199,1417
floridast,uncgreensboro,floridast vs. uncgreensboro,1199,1422
floridast,southerncalifornia,floridast vs. southerncalifornia,1199,1425
floridast,utahst,floridast vs. utahst,1199,1429
floridast,vcu,floridast vs. vcu,1199,1433
floridast,villanova,floridast vs. villanova,1199,1437
floridast,virginia,floridast vs. virginia,1199,1438
floridast,virginiatech,floridast vs. virginiatech,1199,1439
floridast,westvirginia,floridast vs. westvirginia,1199,1452
floridast,winthrop,floridast vs. winthrop,1199,1457
floridast,wisconsin,floridast vs. wisconsin,1199,1458
