team,season,id,x3fg,x3fga,apg,ast,bkpg,blks,fg_percent,fga,fgm,ft,fta,ft_percent,gm,l,w_l,pct,rank,reb,rpg,st,to,w,TeamNameSpelling,TeamID,ConfAbbrev
longwood,2019,se_data/se_2019,333,939,11.8,401,2.1,71,42.8,1875,803,468,639,73.2,34,18,16-18,47.1,88,1194,35.12,210,477,16,longwood,1255,big_south
furman,2019,se_data/se_2019,338,935,15.9,524,4.2,137,47.4,1962,930,364,508,71.7,33,8,25-8,75.8,142,1170,35.45,288,407,25,furman,1202,southern
texas,2019,se_data/se_2019,325,934,13.1,486,4.1,152,43.3,2146,929,445,637,69.9,37,16,21-16,56.8,201,1264,34.16,227,401,21,texas,1400,big_twelve
wofford,2019,se_data/se_2019,385,929,15.1,528,3,105,49,2132,1044,406,577,70.4,35,5,30-5,85.7,181,1226,35.03,233,381,30,wofford,1459,southern
akron,2019,se_data/se_2019,297,929,12.1,399,3.2,106,40.9,1948,797,380,539,70.5,33,16,17-16,51.5,177,1205,36.52,185,388,17,akron,1103,mac
quinnipiac,2019,se_data/se_2019,348,923,12.7,393,2,62,42.7,1730,739,468,646,72.4,31,15,16-15,51.6,112,1111,35.84,159,418,16,quinnipiac,1346,maac
fiu,2019,se_data/se_2019,279,923,14.4,491,4.6,155,44,2239,986,547,855,64,34,14,20-14,58.8,336,1218,35.82,359,477,20,fiu,1198,cusa
belmont,2019,se_data/se_2019,343,922,19.5,645,3.8,125,49.8,2094,1042,441,598,73.7,33,6,27-6,81.8,74,1275,38.64,220,377,27,belmont,1125,ovc
campbell,2019,se_data/se_2019,313,912,14.6,482,3.2,104,45.5,1906,867,448,590,75.9,33,13,20-13,60.6,19,1050,31.82,218,337,20,campbell,1144,big_south
northdakotast,2019,se_data/se_2019,332,910,11.5,402,2.5,87,45.4,1926,874,476,613,77.7,35,16,19-16,54.3,9,1104,31.54,160,369,19,north dakota st.,1295,summit
northdakotast,2019,se_data/se_2019,332,910,11.5,402,2.5,87,45.4,1926,874,476,613,77.7,35,16,19-16,54.3,9,1104,31.54,160,369,19,north-dakota-st,1295,summit
duke,2019,se_data/se_2019,278,903,15.9,606,6.8,257,47.8,2418,1157,551,803,68.6,38,6,32-6,84.2,247,1567,41.24,346,488,32,duke,1181,acc
vmi,2019,se_data/se_2019,323,899,13.8,442,1.9,61,42.7,1974,843,424,581,73,32,21,11-21,34.4,97,1110,34.69,217,391,11,vmi,1440,southern
fresnost,2019,se_data/se_2019,342,897,14.3,457,3.5,111,45.4,1866,847,412,572,72,32,9,23-9,71.9,129,1142,35.69,228,400,23,fresno st,1201,mwc
fresnost,2019,se_data/se_2019,342,897,14.3,457,3.5,111,45.4,1866,847,412,572,72,32,9,23-9,71.9,129,1142,35.69,228,400,23,fresno st.,1201,mwc
fresnost,2019,se_data/se_2019,342,897,14.3,457,3.5,111,45.4,1866,847,412,572,72,32,9,23-9,71.9,129,1142,35.69,228,400,23,fresno-st,1201,mwc
northflorida,2019,se_data/se_2019,308,897,15.8,520,5,165,44.8,2014,902,373,539,69.2,33,17,16-17,48.5,226,1252,37.94,212,536,16,north florida,1316,a_sun
northflorida,2019,se_data/se_2019,308,897,15.8,520,5,165,44.8,2014,902,373,539,69.2,33,17,16-17,48.5,226,1252,37.94,212,536,16,north-florida,1316,a_sun
flaatlantic,2019,se_data/se_2019,290,895,12.7,419,2.8,93,41,1971,809,414,551,75.1,33,16,17-16,51.5,33,1295,39.24,184,484,17,fla-atlantic,1194,cusa
flaatlantic,2019,se_data/se_2019,290,895,12.7,419,2.8,93,41,1971,809,414,551,75.1,33,16,17-16,51.5,33,1295,39.24,184,484,17,fla. atlantic,1194,cusa
youngstownst,2019,se_data/se_2019,303,891,14,449,3.6,115,42.7,2057,879,354,505,70.1,32,20,12-20,37.5,196,1207,37.72,210,423,12,youngstown st,1464,horizon
youngstownst,2019,se_data/se_2019,303,891,14,449,3.6,115,42.7,2057,879,354,505,70.1,32,20,12-20,37.5,196,1207,37.72,210,423,12,youngstown st.,1464,horizon
youngstownst,2019,se_data/se_2019,303,891,14,449,3.6,115,42.7,2057,879,354,505,70.1,32,20,12-20,37.5,196,1207,37.72,210,423,12,youngstown-st,1464,horizon
ulm,2019,se_data/se_2019,353,891,14.2,498,2.2,78,45.4,2029,922,576,737,78.2,35,16,19-16,54.3,6,1176,33.6,206,398,19,ulm,1419,sun_belt
wichitast,2019,se_data/se_2019,276,890,13.5,499,3.6,135,40.8,2277,929,475,655,72.5,37,15,22-15,59.5,109,1416,38.27,174,449,22,wichita st,1455,aac
wichitast,2019,se_data/se_2019,276,890,13.5,499,3.6,135,40.8,2277,929,475,655,72.5,37,15,22-15,59.5,109,1416,38.27,174,449,22,wichita st.,1455,aac
wichitast,2019,se_data/se_2019,276,890,13.5,499,3.6,135,40.8,2277,929,475,655,72.5,37,15,22-15,59.5,109,1416,38.27,174,449,22,wichita-st,1455,aac
easternwash,2019,se_data/se_2019,310,886,13.7,467,3,101,42.9,2040,876,398,546,72.9,34,18,16-18,47.1,99,1192,35.06,200,401,16,eastern wash.,1186,big_sky
easternwash,2019,se_data/se_2019,310,886,13.7,467,3,101,42.9,2040,876,398,546,72.9,34,18,16-18,47.1,99,1192,35.06,200,401,16,eastern-wash,1186,big_sky
bucknell,2019,se_data/se_2019,311,885,15.7,519,3.5,116,45,1928,867,489,653,74.9,33,12,21-12,63.6,36,1154,34.97,173,408,21,bucknell,1137,patriot
nichollsst,2019,se_data/se_2019,324,884,13.8,428,4.1,128,42.1,1915,807,322,418,77,31,17,14-17,45.2,13,1041,33.58,208,386,14,nicholls st,1311,southland
nichollsst,2019,se_data/se_2019,324,884,13.8,428,4.1,128,42.1,1915,807,322,418,77,31,17,14-17,45.2,13,1041,33.58,208,386,14,nicholls st.,1311,southland
nichollsst,2019,se_data/se_2019,324,884,13.8,428,4.1,128,42.1,1915,807,322,418,77,31,17,14-17,45.2,13,1041,33.58,208,386,14,nicholls-st,1311,southland
davidson,2019,se_data/se_2019,312,882,14.7,499,2.4,82,45,1893,852,393,525,74.9,34,10,24-10,70.6,37,1185,34.85,175,379,24,davidson,1172,a_ten
greenbay,2019,se_data/se_2019,303,878,15.2,577,4,151,45.8,2413,1106,575,818,70.3,38,17,21-17,55.3,187,1406,37,290,497,21,green bay,1453,horizon
greenbay,2019,se_data/se_2019,303,878,15.2,577,4,151,45.8,2413,1106,575,818,70.3,38,17,21-17,55.3,187,1406,37,290,497,21,green-bay,1453,horizon
lipscomb,2019,se_data/se_2019,327,876,17.7,654,2.9,108,48,2230,1071,607,801,75.8,37,8,29-8,78.4,21,1378,37.24,268,490,29,lipscomb,1252,a_sun
liberty,2019,se_data/se_2019,322,873,14.8,532,2.7,96,48.7,1977,963,406,524,77.5,36,7,29-7,80.6,10,1174,32.61,223,395,29,liberty,1251,a_sun
florida,2019,se_data/se_2019,291,872,12.1,437,3.6,131,42.5,2015,857,435,603,72.1,36,16,20-16,55.6,122,1198,33.28,257,420,20,florida,1196,sec
saintjosephs,2019,se_data/se_2019,280,869,12,397,3.3,110,40.8,1943,793,462,615,75.1,33,19,14-19,42.4,34,1140,34.55,186,306,14,saint joseph's,1386,a_ten
saintjosephs,2019,se_data/se_2019,280,869,12,397,3.3,110,40.8,1943,793,462,615,75.1,33,19,14-19,42.4,34,1140,34.55,186,306,14,saint joseph`s,1386,a_ten
saintjosephs,2019,se_data/se_2019,280,869,12,397,3.3,110,40.8,1943,793,462,615,75.1,33,19,14-19,42.4,34,1140,34.55,186,306,14,saint joseph’s,1386,a_ten
saintjosephs,2019,se_data/se_2019,280,869,12,397,3.3,110,40.8,1943,793,462,615,75.1,33,19,14-19,42.4,34,1140,34.55,186,306,14,saint-josephs,1386,a_ten
notredame,2019,se_data/se_2019,272,863,12.8,423,4.5,148,39.3,1973,776,442,594,74.4,33,19,14-19,42.4,51,1208,36.61,179,306,14,notre dame,1323,acc
notredame,2019,se_data/se_2019,272,863,12.8,423,4.5,148,39.3,1973,776,442,594,74.4,33,19,14-19,42.4,51,1208,36.61,179,306,14,notre-dame,1323,acc
armywestpoint,2019,se_data/se_2019,272,863,15.6,499,1.6,50,42.8,1956,837,322,471,68.4,32,19,13-19,40.6,259,1125,35.16,198,376,13,army west point,1119,patriot
armywestpoint,2019,se_data/se_2019,272,863,15.6,499,1.6,50,42.8,1956,837,322,471,68.4,32,19,13-19,40.6,259,1125,35.16,198,376,13,army-west-point,1119,patriot
northcarolina,2019,se_data/se_2019,312,862,18.8,677,3.3,120,46.4,2410,1118,541,728,74.3,36,7,29-7,80.6,54,1577,43.81,252,472,29,north carolina,1314,acc
northcarolina,2019,se_data/se_2019,312,862,18.8,677,3.3,120,46.4,2410,1118,541,728,74.3,36,7,29-7,80.6,54,1577,43.81,252,472,29,north-carolina,1314,acc
toledo,2019,se_data/se_2019,325,860,16.3,539,4.6,152,45.2,1992,901,410,531,77.2,33,8,25-8,75.8,12,1284,38.91,170,401,25,toledo,1405,mac
louisville,2019,se_data/se_2019,294,860,13.5,458,2.9,98,43.4,1967,854,534,687,77.7,34,14,20-14,58.8,8,1297,38.15,149,414,20,louisville,1257,acc
georgiast,2019,se_data/se_2019,330,859,12.2,415,4.6,158,45.9,1968,903,462,694,66.6,34,10,24-10,70.6,315,1110,32.65,269,391,24,georgia st,1209,sun_belt
georgiast,2019,se_data/se_2019,330,859,12.2,415,4.6,158,45.9,1968,903,462,694,66.6,34,10,24-10,70.6,315,1110,32.65,269,391,24,georgia st.,1209,sun_belt
georgiast,2019,se_data/se_2019,330,859,12.2,415,4.6,158,45.9,1968,903,462,694,66.6,34,10,24-10,70.6,315,1110,32.65,269,391,24,georgia-st,1209,sun_belt
northeastern,2019,se_data/se_2019,328,858,14.1,480,2.2,74,47.6,1848,880,476,634,75.1,34,11,23-11,67.6,35,1075,31.62,211,381,23,northeastern,1318,caa
uic,2019,se_data/se_2019,303,856,14.9,478,3.9,124,45.9,1883,865,358,525,68.2,32,16,16-16,50,264,1106,34.56,210,460,16,uic,1227,horizon
nevada,2019,se_data/se_2019,297,855,14.6,498,3.9,134,46.2,1999,924,578,816,70.8,34,5,29-5,85.3,167,1273,37.44,211,352,29,nevada,1305,mwc
utsa,2019,se_data/se_2019,294,855,13.1,420,2.6,82,43.3,2068,896,395,536,73.7,32,15,17-15,53.1,77,1216,38,213,402,17,utsa,1427,cusa
westvirginia,2019,se_data/se_2019,269,852,13.6,488,3.5,126,41.3,2181,901,584,849,68.8,36,21,15-21,41.7,244,1425,39.58,223,557,15,west virginia,1452,big_twelve
westvirginia,2019,se_data/se_2019,269,852,13.6,488,3.5,126,41.3,2181,901,584,849,68.8,36,21,15-21,41.7,244,1425,39.58,223,557,15,west-virginia,1452,big_twelve
texassouthern,2019,se_data/se_2019,276,852,15.6,591,3,114,45.5,2380,1084,658,986,66.7,38,14,24-14,63.2,310,1502,39.53,309,588,24,texas southern,1411,swac
texassouthern,2019,se_data/se_2019,276,852,15.6,591,3,114,45.5,2380,1084,658,986,66.7,38,14,24-14,63.2,310,1502,39.53,309,588,24,texas-southern,1411,swac
siena,2019,se_data/se_2019,288,849,12.6,415,2.8,93,43.4,1779,772,299,440,68,33,16,17-16,51.5,276,973,29.48,190,323,17,siena,1373,maac
northerncolo,2019,se_data/se_2019,307,849,13.2,422,3.2,101,46.2,1837,849,445,633,70.3,32,11,21-11,65.6,185,1129,35.28,176,399,21,northern colo.,1294,big_sky
northerncolo,2019,se_data/se_2019,307,849,13.2,422,3.2,101,46.2,1837,849,445,633,70.3,32,11,21-11,65.6,185,1129,35.28,176,399,21,northern-colo,1294,big_sky
hartford,2019,se_data/se_2019,322,846,14,462,2.1,69,45.5,1862,848,459,619,74.2,33,15,18-15,54.5,64,1051,31.85,228,401,18,hartford,1216,aec
northernky,2019,se_data/se_2019,306,845,16.9,592,4,139,47.8,2048,979,483,725,66.6,35,9,26-9,74.3,312,1298,37.09,218,441,26,northern ky.,1297,horizon
northernky,2019,se_data/se_2019,306,845,16.9,592,4,139,47.8,2048,979,483,725,66.6,35,9,26-9,74.3,312,1298,37.09,218,441,26,northern-ky,1297,horizon
iona,2019,se_data/se_2019,297,845,13.1,432,2.7,90,45.2,1897,857,521,699,74.5,33,16,17-16,51.5,45,1127,34.15,223,409,17,iona,1233,maac
newmexico,2019,se_data/se_2019,292,845,13.9,446,3.3,107,42.2,1929,814,523,745,70.2,32,18,14-18,43.8,191,1203,37.59,220,456,14,new mexico,1307,mwc
newmexico,2019,se_data/se_2019,292,845,13.9,446,3.3,107,42.2,1929,814,523,745,70.2,32,18,14-18,43.8,191,1203,37.59,220,456,14,new-mexico,1307,mwc
hampton,2019,se_data/se_2019,291,844,13.9,487,3.5,121,43.2,2236,966,622,790,78.7,35,17,18-17,51.4,3,1370,39.14,215,379,18,hampton,1214,big_south
michiganst,2019,se_data/se_2019,319,844,18.3,715,5.3,205,48,2230,1071,564,749,75.3,39,7,32-7,82.1,29,1580,40.51,201,493,32,michigan st,1277,big_ten
michiganst,2019,se_data/se_2019,319,844,18.3,715,5.3,205,48,2230,1071,564,749,75.3,39,7,32-7,82.1,29,1580,40.51,201,493,32,michigan st.,1277,big_ten
michiganst,2019,se_data/se_2019,319,844,18.3,715,5.3,205,48,2230,1071,564,749,75.3,39,7,32-7,82.1,29,1580,40.51,201,493,32,michigan-st,1277,big_ten
coppinst,2019,se_data/se_2019,240,841,9.9,326,3.5,115,38.9,1827,710,458,689,66.5,33,25,8-25,24.2,316,1217,36.88,169,555,8,coppin st,1164,meac
coppinst,2019,se_data/se_2019,240,841,9.9,326,3.5,115,38.9,1827,710,458,689,66.5,33,25,8-25,24.2,316,1217,36.88,169,555,8,coppin st.,1164,meac
coppinst,2019,se_data/se_2019,240,841,9.9,326,3.5,115,38.9,1827,710,458,689,66.5,33,25,8-25,24.2,316,1217,36.88,169,555,8,coppin-st,1164,meac
duquesne,2019,se_data/se_2019,271,841,13.8,442,4.7,151,42.8,1894,810,460,663,69.4,32,13,19-13,59.4,216,1133,35.41,250,451,19,duquesne,1182,a_ten
samhoustonst,2019,se_data/se_2019,308,840,16.8,555,2.8,94,44.2,2011,889,390,518,75.3,33,12,21-12,63.6,31,1191,36.09,242,413,21,sam houston st,1358,southland
samhoustonst,2019,se_data/se_2019,308,840,16.8,555,2.8,94,44.2,2011,889,390,518,75.3,33,12,21-12,63.6,31,1191,36.09,242,413,21,sam houston st.,1358,southland
samhoustonst,2019,se_data/se_2019,308,840,16.8,555,2.8,94,44.2,2011,889,390,518,75.3,33,12,21-12,63.6,31,1191,36.09,242,413,21,sam-houston-st,1358,southland
oregon,2019,se_data/se_2019,295,840,13.2,501,4.3,162,45.1,2126,958,450,624,72.1,38,13,25-13,65.8,126,1301,34.24,290,443,25,oregon,1332,pac_twelve
michigan,2019,se_data/se_2019,287,839,13.8,512,4,149,44.8,2102,941,406,579,70.1,37,7,30-7,81.1,194,1301,35.16,225,336,30,michigan,1276,big_ten
northtexas,2019,se_data/se_2019,284,838,13,428,2.7,88,43.5,1910,831,356,532,66.9,33,12,21-12,63.6,304,1246,37.76,210,445,21,north texas,1317,cusa
northtexas,2019,se_data/se_2019,284,838,13,428,2.7,88,43.5,1910,831,356,532,66.9,33,12,21-12,63.6,304,1246,37.76,210,445,21,north-texas,1317,cusa
easternky,2019,se_data/se_2019,272,832,14.8,458,3.3,101,42.4,2125,902,486,683,71.2,31,18,13-18,41.9,159,1167,37.65,317,447,13,eastern ky.,1184,ovc
easternky,2019,se_data/se_2019,272,832,14.8,458,3.3,101,42.4,2125,902,486,683,71.2,31,18,13-18,41.9,159,1167,37.65,317,447,13,eastern-ky,1184,ovc
fordham,2019,se_data/se_2019,276,831,11.3,360,3.4,108,40.2,1890,759,314,462,68,32,20,12-20,37.5,275,1085,33.91,188,346,12,fordham,1200,a_ten
virginiatech,2019,se_data/se_2019,327,831,15.2,531,2.2,78,47,1900,893,461,606,76.1,35,9,26-9,74.3,17,1142,32.63,236,393,26,virginia tech,1439,acc
virginiatech,2019,se_data/se_2019,327,831,15.2,531,2.2,78,47,1900,893,461,606,76.1,35,9,26-9,74.3,17,1142,32.63,236,393,26,virginia-tech,1439,acc
ncstate,2019,se_data/se_2019,292,830,15,539,3.8,138,45.8,2319,1061,468,661,70.8,36,12,24-12,66.7,168,1387,38.53,257,449,24,n.c. state,1301,acc
ncstate,2019,se_data/se_2019,292,830,15,539,3.8,138,45.8,2319,1061,468,661,70.8,36,12,24-12,66.7,168,1387,38.53,257,449,24,nc state,1301,acc
ncstate,2019,se_data/se_2019,292,830,15,539,3.8,138,45.8,2319,1061,468,661,70.8,36,12,24-12,66.7,168,1387,38.53,257,449,24,nc-state,1301,acc
washingtonst,2019,se_data/se_2019,301,828,14.9,476,2.8,89,44.8,1861,833,426,564,75.5,32,21,11-21,34.4,24,1076,33.63,169,441,11,washington st,1450,pac_twelve
washingtonst,2019,se_data/se_2019,301,828,14.9,476,2.8,89,44.8,1861,833,426,564,75.5,32,21,11-21,34.4,24,1076,33.63,169,441,11,washington st.,1450,pac_twelve
washingtonst,2019,se_data/se_2019,301,828,14.9,476,2.8,89,44.8,1861,833,426,564,75.5,32,21,11-21,34.4,24,1076,33.63,169,441,11,washington-st,1450,pac_twelve
butler,2019,se_data/se_2019,292,827,13.2,434,1.9,62,44.5,1934,861,360,488,73.8,33,17,16-17,48.5,73,1056,32,193,359,16,butler,1139,big_east
detroitmercy,2019,se_data/se_2019,294,825,10.3,319,2.5,77,41.8,1874,784,417,581,71.8,31,20,11-20,35.5,137,1019,32.87,238,356,11,detroit mercy,1178,horizon
detroitmercy,2019,se_data/se_2019,294,825,10.3,319,2.5,77,41.8,1874,784,417,581,71.8,31,20,11-20,35.5,137,1019,32.87,238,356,11,detroit-mercy,1178,horizon
syracuse,2019,se_data/se_2019,274,824,12,408,4.8,162,42.4,1907,808,480,701,68.5,34,14,20-14,58.8,255,1176,34.59,278,424,20,syracuse,1393,acc
centralmich,2019,se_data/se_2019,305,822,13.3,467,3.1,107,45.5,2177,991,609,908,67.1,35,12,23-12,65.7,300,1321,37.74,267,425,23,central mich.,1141,mac
centralmich,2019,se_data/se_2019,305,822,13.3,467,3.1,107,45.5,2177,991,609,908,67.1,35,12,23-12,65.7,300,1321,37.74,267,425,23,central-mich,1141,mac
marquette,2019,se_data/se_2019,319,822,13.4,456,4.3,146,45.4,1969,893,524,692,75.7,34,10,24-10,70.6,23,1300,38.24,168,471,24,marquette,1266,big_east
louisiana,2019,se_data/se_2019,283,821,15.2,487,3.9,125,44.5,2026,901,527,710,74.2,32,13,19-13,59.4,59,1141,35.66,226,422,19,louisiana,1418,sun_belt
clevelandst,2019,se_data/se_2019,303,820,14.8,460,3.1,97,43.6,1834,799,399,585,68.2,31,21,10-21,32.3,262,1094,35.29,174,412,10,cleveland st,1156,horizon
clevelandst,2019,se_data/se_2019,303,820,14.8,460,3.1,97,43.6,1834,799,399,585,68.2,31,21,10-21,32.3,262,1094,35.29,174,412,10,cleveland st.,1156,horizon
clevelandst,2019,se_data/se_2019,303,820,14.8,460,3.1,97,43.6,1834,799,399,585,68.2,31,21,10-21,32.3,262,1094,35.29,174,412,10,cleveland-st,1156,horizon
southfla,2019,se_data/se_2019,272,819,13.7,521,3.3,124,43,2120,911,658,1018,64.6,38,14,24-14,63.2,334,1483,39.03,306,604,24,south fla.,1378,aac
southfla,2019,se_data/se_2019,272,819,13.7,521,3.3,124,43,2120,911,658,1018,64.6,38,14,24-14,63.2,334,1483,39.03,306,604,24,south-fla,1378,aac
floridast,2019,se_data/se_2019,272,819,12.8,475,4.4,161,44.2,2171,960,579,778,74.4,37,8,29-8,78.4,49,1391,37.59,266,492,29,florida st,1199,acc
floridast,2019,se_data/se_2019,272,819,12.8,475,4.4,161,44.2,2171,960,579,778,74.4,37,8,29-8,78.4,49,1391,37.59,266,492,29,florida st.,1199,acc
floridast,2019,se_data/se_2019,272,819,12.8,475,4.4,161,44.2,2171,960,579,778,74.4,37,8,29-8,78.4,49,1391,37.59,266,492,29,florida-st,1199,acc
pepperdine,2019,se_data/se_2019,313,819,14.1,479,2.8,95,44.4,1949,865,529,696,76,34,18,16-18,47.1,18,1085,31.91,229,433,16,pepperdine,1337,wcc
wrightst,2019,se_data/se_2019,281,818,13.8,484,2.1,72,43.6,2028,885,510,692,73.7,35,14,21-14,60,76,1230,35.14,214,402,21,wright st,1460,horizon
wrightst,2019,se_data/se_2019,281,818,13.8,484,2.1,72,43.6,2028,885,510,692,73.7,35,14,21-14,60,76,1230,35.14,214,402,21,wright st.,1460,horizon
wrightst,2019,se_data/se_2019,281,818,13.8,484,2.1,72,43.6,2028,885,510,692,73.7,35,14,21-14,60,76,1230,35.14,214,402,21,wright-st,1460,horizon
uncgreensboro,2019,se_data/se_2019,280,818,12.6,453,3.9,139,45.7,2184,997,464,666,69.7,36,7,29-7,80.6,207,1250,34.72,315,423,29,unc greensboro,1422,southern
montanast,2019,se_data/se_2019,306,818,15.3,491,1.4,46,45.6,1882,858,480,651,73.7,32,17,15-17,46.9,75,1083,33.84,169,394,15,montana st,1286,big_sky
montanast,2019,se_data/se_2019,306,818,15.3,491,1.4,46,45.6,1882,858,480,651,73.7,32,17,15-17,46.9,75,1083,33.84,169,394,15,montana st.,1286,big_sky
montanast,2019,se_data/se_2019,306,818,15.3,491,1.4,46,45.6,1882,858,480,651,73.7,32,17,15-17,46.9,75,1083,33.84,169,394,15,montana-st,1286,big_sky
uscupstate,2019,se_data/se_2019,269,817,13.6,434,2.9,94,41.4,1872,775,350,492,71.1,32,26,6-26,18.8,160,1051,32.84,207,440,6,usc upstate,1367,big_south
uscupstate,2019,se_data/se_2019,269,817,13.6,434,2.9,94,41.4,1872,775,350,492,71.1,32,26,6-26,18.8,160,1051,32.84,207,440,6,usc-upstate,1367,big_south
oakland,2019,se_data/se_2019,314,816,17.6,580,3,99,46.4,1858,863,492,663,74.2,33,17,16-17,48.5,63,1063,32.21,191,427,16,oakland,1324,horizon
colgate,2019,se_data/se_2019,320,815,15.5,541,3.5,121,47.9,1995,955,418,563,74.2,35,11,24-11,68.6,56,1240,35.43,213,456,24,colgate,1159,patriot
tcu,2019,se_data/se_2019,281,813,16.2,598,4.4,162,45.7,2168,990,469,688,68.2,37,14,23-14,62.2,266,1346,36.38,255,499,23,tcu,1395,big_twelve
virginia,2019,se_data/se_2019,321,813,14.3,544,3.9,149,47.4,2056,974,445,598,74.4,38,3,35-3,92.1,50,1322,34.79,211,342,35,virginia,1438,acc
iowast,2019,se_data/se_2019,294,811,15.1,527,4.6,160,47.6,2047,974,450,615,73.2,35,12,23-12,65.7,91,1227,35.06,247,390,23,iowa st,1235,big_twelve
iowast,2019,se_data/se_2019,294,811,15.1,527,4.6,160,47.6,2047,974,450,615,73.2,35,12,23-12,65.7,91,1227,35.06,247,390,23,iowa st.,1235,big_twelve
iowast,2019,se_data/se_2019,294,811,15.1,527,4.6,160,47.6,2047,974,450,615,73.2,35,12,23-12,65.7,91,1227,35.06,247,390,23,iowa-st,1235,big_twelve
stjohns,2019,se_data/se_2019,289,809,13.9,472,3.3,111,45,2100,944,446,620,71.9,34,13,21-13,61.8,133,1117,32.85,302,358,21,st john's,1385,big_east
stjohns,2019,se_data/se_2019,289,809,13.9,472,3.3,111,45,2100,944,446,620,71.9,34,13,21-13,61.8,133,1117,32.85,302,358,21,st-johns,1385,big_east
stjohns,2019,se_data/se_2019,289,809,13.9,472,3.3,111,45,2100,944,446,620,71.9,34,13,21-13,61.8,133,1117,32.85,302,358,21,st. john's,1385,big_east
